Book-Title,Book-Author,Image-URL-M,num_rating,avg_rating
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,https://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.852803738
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,https://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.824289406
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,https://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.737410072
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,https://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.501440922
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,https://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.183453237
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.007117438
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.948369565
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,https://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.895652174
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.880769231
To Kill a Mockingbird,Harper Lee,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
The Da Vinci Code,Dan Brown,https://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.642538976
The Five People You Meet in Heaven,Mitch Albom,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,4.551162791
The Catcher in the Rye,J.D. Salinger,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.545657016
The Lovely Bones: A Novel,Alice Sebold,https://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.468725869
1984,George Orwell,https://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,4.454225352
Prodigal Summer: A Novel,Barbara Kingsolver,https://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,4.450592885
Neverwhere,Neil Gaiman,https://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.449056604
The Secret Life of Bees,Sue Monk Kidd,https://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.447028424
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,https://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,4.356890459
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,https://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,4.354969574
The Red Tent (Bestselling Backlist),Anita Diamant,https://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,4.334716459
The Hitchhiker's Guide to the Galaxy,Douglas Adams,https://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,268,4.328358209
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,https://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.289552239
Into the Wild,Jon Krakauer,https://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,4.273809524
Fahrenheit 451,Ray Bradbury,https://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,4.26405868
Girl with a Pearl Earring,Tracy Chevalier,https://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.218631179
Outlander,DIANA GABALDON,https://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg,283,4.173144876
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,https://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,4.105982906
Seabiscuit: An American Legend,LAURA HILLENBRAND,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.098181818
Life of Pi,Yann Martel,https://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.088855422
The Bean Trees,Barbara Kingsolver,https://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.087403599
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,https://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,4.086792453
ANGELA'S ASHES,Frank McCourt,https://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,4.075268817
Good in Bed,Jennifer Weiner,https://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.055102041
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,https://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,4.037383178
American Gods,Neil Gaiman,https://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.006622517
Skipping Christmas,JOHN GRISHAM,https://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.00621118
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,https://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,4.003144654
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,https://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4
The Color Purple,Alice Walker,https://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,314,3.964968153
Silence of the Lambs,Thomas Harris,https://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,3.9609375
About a Boy,Nick Hornby,https://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,3.900763359
Seven Up (A Stephanie Plum Novel),Janet Evanovich,https://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,3.888489209
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,https://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,3.87593985
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,https://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,3.82527881
Suzanne's Diary for Nicholas,James Patterson,https://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.820568928
Lord of the Flies,William Gerald Golding,https://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,3.818532819
A Prayer for Owen Meany,John Irving,https://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.796610169
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,https://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,3.777408638
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,https://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,3.77247191
